customer_id,snapshot_date,city_tier,age_group,acquisition_channel,loyalty_tier,preferred_category,marketing_consent,recency_days,frequency_180d,monetary_180d,return_rate_180d,avg_discount_pct_180d,avg_rating_180d,category_diversity_180d,ticket_count_90d,negative_ticket_rate_90d,avg_resolution_hours_90d,days_since_signup,sessions_30d,product_views_30d,cart_adds_30d,wishlist_adds_30d,abandoned_carts_30d,email_opens_30d,campaign_clicks_30d,last_visit_days_ago,churn_next_60d,split,churn_probability,predicted_churn
CUST00022,2025-09-30,Tier 1,18-24,Instagram,,Wellness,Yes,29,1,454.06,0.0,0.31,5.0,1,0,0.0,0.0,83,10,33,5,1,2,4,1,0,0,train,0.2084994091715279,0
CUST00023,2025-09-30,Tier 3,18-24,Google Search,Gold,Baby Care,Yes,21,1,400.98,0.0,0.25,3.0,1,0,0.0,0.0,29,3,15,1,1,1,4,1,7,0,train,0.3141199073831426,1
CUST00024,2025-09-30,Tier 1,25-34,Marketplace,,Skin Care,Yes,4,1,481.35,0.0,0.34,5.0,1,0,0.0,0.0,103,13,71,3,2,2,3,0,0,0,test,0.1253739633934222,0
CUST00025,2025-09-30,Tier 2,18-24,Referral,,Baby Care,Yes,165,1,517.97,0.0,0.38,5.0,1,0,0.0,0.0,564,11,54,2,3,1,6,1,29,1,test,0.886813191439064,1
CUST00026,2025-09-30,Tier 2,25-34,Referral,,Wellness,Yes,72,3,3561.39,0.333,0.163,3.0,2,1,1.0,20.0,260,14,55,3,3,0,1,0,26,0,train,0.3273634962310151,1
CUST00027,2025-09-30,Tier 1,45+,Instagram,,Baby Care,Yes,70,1,2128.34,1.0,0.3,1.0,1,1,0.0,8.0,532,11,44,3,2,1,5,2,18,0,validation,0.5593011482265233,1
CUST00028,2025-09-30,Tier 1,25-34,Influencer,,Baby Care,Yes,83,1,641.83,0.0,0.11,2.0,1,0,0.0,0.0,368,1,4,1,0,0,3,0,19,0,train,0.6331495921712315,1
CUST00029,2025-09-30,Tier 2,35-44,Referral,,Skin Care,No,18,3,1382.04,0.0,0.2,3.67,2,0,0.0,0.0,473,1,6,0,0,0,0,0,0,0,train,0.1784635857234141,0
CUST00030,2025-09-30,Tier 1,25-34,Google Search,Gold,Wellness,No,5,5,2819.98,0.0,0.362,4.2,4,2,1.0,27.65,487,11,31,2,3,1,0,0,3,0,test,0.04989497130050189,0
CUST00031,2025-09-30,Tier 1,35-44,Marketplace,,Wellness,No,49,1,672.95,0.0,0.24,4.0,1,0,0.0,0.0,65,6,35,3,0,1,0,0,9,1,train,0.42540675186016025,1
CUST00032,2025-09-30,Tier 1,35-44,Marketplace,Silver,Skin Care,No,33,1,694.18,0.0,0.32,4.0,1,0,0.0,0.0,298,12,70,4,2,1,0,0,13,0,test,0.2989903620030647,1
CUST00033,2025-09-30,Tier 3,18-24,Google Search,Gold,Fragrance,Yes,12,3,1877.69,0.333,0.403,4.67,3,1,1.0,33.3,411,7,41,2,2,1,3,0,7,0,validation,0.2184869468335099,0
CUST00034,2025-09-30,Tier 2,25-34,Marketplace,Gold,Hair Care,Yes,50,2,1460.21,0.0,0.185,4.5,2,1,1.0,23.6,353,7,30,4,1,2,8,2,0,0,train,0.17576656763674736,0
CUST00035,2025-09-30,Tier 2,18-24,Google Search,Silver,Hair Care,Yes,127,1,779.74,0.0,0.12,4.0,1,0,0.0,0.0,367,6,25,2,1,1,8,0,25,1,train,0.7289066510726492,1
CUST00036,2025-09-30,Tier 3,18-24,Referral,Silver,Makeup,Yes,27,4,1737.33,0.25,0.365,2.75,4,1,0.0,27.9,192,0,0,0,0,0,0,0,14,1,train,0.28122612225950516,1
CUST00037,2025-09-30,Tier 1,35-44,Influencer,,Makeup,Yes,102,1,435.83,0.0,0.43,3.0,1,0,0.0,0.0,317,5,28,2,0,0,3,0,28,0,train,0.7923798043097741,1
CUST00038,2025-09-30,Tier 3,35-44,Marketplace,,Baby Care,Yes,51,3,1955.61,0.0,0.317,3.67,3,1,0.0,21.9,250,5,23,1,0,0,5,0,14,0,train,0.2936358516633506,1
CUST00039,2025-09-30,Tier 2,25-34,Instagram,,Wellness,Yes,15,2,1173.55,0.0,0.21,3.5,2,0,0.0,0.0,309,6,20,1,1,0,3,1,4,0,train,0.13996251730229814,0
CUST00040,2025-09-30,Tier 3,18-24,Instagram,,Fragrance,Yes,154,1,634.73,0.0,0.38,5.0,1,0,0.0,0.0,295,1,4,0,0,0,1,0,42,1,train,0.9023781558821078,1
CUST00041,2025-09-30,Tier 3,25-34,Referral,Silver,Hair Care,Yes,54,1,366.99,0.0,0.44,5.0,1,0,0.0,0.0,564,5,19,1,1,0,4,2,22,1,train,0.3701431661187512,1
CUST00042,2025-09-30,Tier 1,35-44,Organic,Silver,Hair Care,Yes,87,5,4306.0,0.0,0.2,3.4,4,2,0.5,9.65,529,3,13,1,0,0,7,2,14,0,train,0.04440283051352022,0
CUST00043,2025-09-30,Tier 2,45+,Influencer,Gold,Baby Care,No,24,1,363.01,0.0,0.43,5.0,1,0,0.0,0.0,95,3,16,0,0,0,0,0,0,0,test,0.40984458902564463,1
CUST00044,2025-09-30,Tier 2,35-44,Google Search,,Baby Care,Yes,72,1,899.51,0.0,0.29,4.0,1,0,0.0,0.0,476,6,27,2,1,1,4,2,10,0,test,0.43339399267328144,1
CUST00045,2025-09-30,Tier 1,25-34,Referral,,Skin Care,Yes,96,1,413.75,0.0,0.33,4.0,1,0,0.0,0.0,398,6,16,1,1,0,3,1,10,1,train,0.6380320596302813,1
CUST00046,2025-09-30,Tier 1,25-34,Referral,Gold,Baby Care,Yes,127,1,489.87,0.0,0.13,3.0,1,0,0.0,0.0,161,7,31,4,2,1,10,0,29,1,train,0.832774503815149,1
CUST00047,2025-09-30,Tier 1,25-34,Organic,Gold,Baby Care,Yes,204,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,278,2,9,1,0,0,3,1,36,1,train,0.9375434364443498,1
CUST00048,2025-09-30,Tier 1,25-34,Marketplace,Silver,Makeup,No,61,4,2450.45,0.25,0.312,3.25,3,0,0.0,0.0,192,12,38,2,2,1,0,0,12,0,validation,0.29572123094065217,1
CUST00049,2025-09-30,Tier 1,25-34,Marketplace,,Hair Care,Yes,8,1,380.83,0.0,0.47,5.0,1,0,0.0,0.0,32,4,13,1,1,1,3,1,0,0,train,0.22041313214379277,0
CUST00050,2025-09-30,Tier 3,25-34,Referral,Gold,Hair Care,Yes,0,2,2026.54,0.5,0.3,2.5,2,0,0.0,0.0,250,3,12,1,1,0,3,1,0,0,train,0.15863409602919168,0
CUST00051,2025-09-30,Tier 3,35-44,Instagram,,Skin Care,Yes,210,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,597,6,32,2,1,1,8,2,35,1,train,0.9402505550491588,1
CUST00052,2025-09-30,Tier 1,35-44,Marketplace,Silver,Skin Care,No,55,2,1820.53,0.0,0.19,4.0,2,0,0.0,0.0,376,7,34,2,1,1,0,0,8,1,train,0.27656429346443673,1
CUST00053,2025-09-30,Tier 2,25-34,Instagram,Silver,Baby Care,Yes,25,3,2063.87,0.0,0.457,4.67,2,1,1.0,56.1,254,9,29,2,2,1,3,1,5,0,validation,0.29044162085678354,1
CUST00054,2025-09-30,Tier 1,35-44,Referral,,Hair Care,Yes,6,1,489.85,0.0,0.25,5.0,1,0,0.0,0.0,59,3,12,1,0,0,0,0,0,0,train,0.16907509029428006,0
CUST00055,2025-09-30,Tier 3,25-34,Marketplace,,Makeup,Yes,3,3,1308.35,0.0,0.247,4.0,2,0,0.0,0.0,268,6,32,2,1,1,7,2,0,0,train,0.06426730183055988,0
CUST00056,2025-09-30,Tier 2,35-44,Google Search,,Wellness,No,9,3,3150.69,0.0,0.287,4.0,2,1,0.0,19.9,192,3,15,1,1,1,0,0,0,0,validation,0.061818591174476564,0
CUST00057,2025-09-30,Tier 2,25-34,Google Search,,Hair Care,Yes,136,1,1713.34,0.0,0.14,3.0,1,0,0.0,0.0,250,7,21,1,0,0,9,1,29,1,train,0.7108168389317557,1
CUST00058,2025-09-30,Tier 1,25-34,Google Search,,Baby Care,Yes,42,1,644.61,0.0,0.21,4.0,1,0,0.0,0.0,628,2,6,1,0,0,8,4,6,0,test,0.23823343431982846,0
CUST00059,2025-09-30,Tier 1,25-34,Google Search,Silver,Hair Care,Yes,2,2,1447.55,0.0,0.32,4.0,1,0,0.0,0.0,543,3,11,1,0,0,0,0,2,0,test,0.09105760190483671,0
CUST00060,2025-09-30,Tier 1,25-34,Instagram,,Skin Care,No,145,1,293.22,0.0,0.36,5.0,1,0,0.0,0.0,174,5,26,2,1,0,0,0,20,1,train,0.9186493169289315,1
CUST00061,2025-09-30,Tier 3,35-44,Referral,,Skin Care,Yes,14,3,1632.4,0.0,0.407,4.67,3,1,1.0,23.6,355,4,19,2,0,1,2,1,15,0,train,0.2616302865026902,1
CUST00062,2025-09-30,Tier 3,25-34,Referral,Silver,Skin Care,Yes,21,3,2295.98,0.0,0.247,4.67,3,0,0.0,0.0,509,9,30,3,2,1,7,1,0,0,train,0.07780912812905572,0
CUST00063,2025-09-30,Tier 1,18-24,Influencer,,Fragrance,Yes,216,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,290,0,0,0,0,0,3,0,24,1,train,0.9489515873570644,1
CUST00064,2025-09-30,Tier 1,45+,Google Search,,Hair Care,No,2,1,654.93,0.0,0.43,4.0,1,0,0.0,0.0,62,8,42,4,1,3,0,0,0,0,test,0.1616093151149959,0
CUST00065,2025-09-30,Tier 2,25-34,Referral,,Skin Care,Yes,6,1,1911.67,0.0,0.0,5.0,1,0,0.0,0.0,185,3,18,0,1,0,4,2,0,0,train,0.05484567533165352,0
CUST00066,2025-09-30,Tier 1,18-24,Instagram,,Hair Care,Yes,320,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,555,11,35,2,2,1,5,1,60,1,train,0.9940868027546498,1
CUST00067,2025-09-30,Tier 1,18-24,Google Search,Silver,Baby Care,Yes,63,2,1246.44,0.5,0.2,2.5,2,1,0.0,16.4,174,1,3,0,0,0,4,2,5,1,test,0.5286953684883539,1
CUST00068,2025-09-30,Tier 1,18-24,Google Search,Silver,Baby Care,Yes,346,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,493,5,18,0,1,0,3,1,60,1,train,0.9986210399956083,1
CUST00069,2025-09-30,Tier 2,25-34,Instagram,,Hair Care,Yes,29,2,874.47,0.0,0.225,5.0,2,0,0.0,0.0,360,9,48,1,2,0,7,1,0,1,train,0.12957712108533304,0
CUST00070,2025-09-30,Tier 1,25-34,Organic,Gold,Baby Care,Yes,38,1,542.98,0.0,0.34,2.0,1,0,0.0,0.0,49,1,4,0,0,0,1,0,18,1,train,0.42629987127747776,1
CUST00071,2025-09-30,Tier 3,25-34,Influencer,,Hair Care,Yes,32,1,2062.5,0.0,0.08,4.0,1,1,1.0,33.0,39,1,3,0,0,0,6,2,12,1,train,0.1969194888432095,0
CUST00072,2025-09-30,Tier 1,35-44,Organic,,Skin Care,Yes,90,2,1697.84,0.0,0.21,2.5,2,0,0.0,0.0,343,7,26,3,2,2,5,1,26,1,train,0.38705563300677454,1
CUST00073,2025-09-30,Tier 2,25-34,Google Search,,Hair Care,Yes,8,2,1150.72,0.0,0.235,2.0,2,0,0.0,0.0,637,7,35,1,0,0,4,1,0,0,train,0.08337419393148773,0
CUST00074,2025-09-30,Tier 2,25-34,Instagram,Platinum,Baby Care,Yes,7,1,824.34,1.0,0.23,3.0,1,1,1.0,29.3,344,14,51,3,2,1,2,1,22,0,train,0.48810301974985226,1
CUST00075,2025-09-30,Tier 3,45+,Referral,,Fragrance,No,3,3,1287.45,0.0,0.297,4.67,3,0,0.0,0.0,408,10,43,2,1,1,0,0,13,0,train,0.07146463941714001,0
CUST00076,2025-09-30,Tier 1,45+,Referral,,Wellness,No,20,2,1385.27,0.0,0.22,5.0,1,0,0.0,0.0,144,17,78,7,5,4,0,0,8,0,train,0.07309854925096776,0
CUST00077,2025-09-30,Tier 3,25-34,Google Search,,Makeup,Yes,109,1,394.32,0.0,0.36,4.0,1,0,0.0,0.0,214,0,0,0,0,0,0,0,20,1,validation,0.8119271665521595,1
CUST00078,2025-09-30,Tier 2,25-34,Referral,,Hair Care,No,139,1,894.45,1.0,0.42,1.0,1,0,0.0,0.0,143,5,13,1,1,0,0,0,38,1,train,0.9851016108079942,1
CUST00079,2025-09-30,Tier 2,18-24,Marketplace,Silver,Hair Care,No,191,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,218,2,8,0,0,0,0,0,31,1,train,0.9489897370664427,1
CUST00080,2025-09-30,Tier 2,25-34,Organic,Gold,Hair Care,No,50,1,1461.68,0.0,0.11,2.0,1,0,0.0,0.0,509,11,31,4,1,2,0,0,3,0,train,0.08124725625787367,0
CUST00081,2025-09-30,Tier 3,18-24,Google Search,Silver,Hair Care,No,19,5,3417.32,0.0,0.202,4.0,4,0,0.0,0.0,480,12,63,4,2,1,0,0,0,0,train,0.03222961311837059,0
CUST00082,2025-09-30,Tier 3,25-34,Referral,,Baby Care,Yes,254,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,314,7,35,2,1,1,7,3,44,1,test,0.9770190832564628,1
CUST00083,2025-09-30,Tier 2,45+,Marketplace,,Skin Care,No,89,2,806.87,0.5,0.335,3.5,1,1,1.0,11.0,194,9,43,2,1,1,0,0,17,1,train,0.846536382330604,1
CUST00084,2025-09-30,Tier 1,25-34,Google Search,Silver,Skin Care,Yes,167,1,1273.18,0.0,0.12,5.0,1,0,0.0,0.0,255,11,60,5,1,2,3,1,34,1,train,0.7904639068515363,1
CUST00085,2025-09-30,Tier 2,18-24,Google Search,,Skin Care,No,14,1,1257.8,0.0,0.2,5.0,1,0,0.0,0.0,41,8,34,0,1,0,0,0,0,1,train,0.17890594010323083,0
CUST00086,2025-09-30,Tier 1,45+,Influencer,Silver,Hair Care,Yes,21,4,1741.15,0.0,0.268,4.25,1,1,1.0,6.6,285,7,39,2,1,1,5,2,0,0,test,0.0633559394593735,0
CUST00087,2025-09-30,Tier 1,25-34,Marketplace,,Fragrance,Yes,44,1,933.58,0.0,0.38,5.0,1,0,0.0,0.0,53,1,4,0,0,0,0,0,15,0,train,0.357469738809294,1
CUST00088,2025-09-30,Tier 2,45+,Organic,Gold,Makeup,Yes,98,2,1169.14,0.0,0.43,4.5,2,0,0.0,0.0,588,9,29,2,1,1,1,0,18,1,test,0.38643375904259814,1
CUST00089,2025-09-30,Tier 3,25-34,Marketplace,,Hair Care,Yes,165,1,1513.5,0.0,0.4,3.0,1,0,0.0,0.0,498,12,40,1,2,0,6,3,31,1,train,0.7687983232068384,1
CUST00090,2025-09-30,Tier 1,18-24,Referral,Platinum,Baby Care,No,80,4,1966.31,0.0,0.375,4.5,3,0,0.0,0.0,213,5,25,3,1,1,0,0,36,0,train,0.5002646515268164,1
CUST00091,2025-09-30,Tier 1,35-44,Instagram,Platinum,Skin Care,No,90,1,311.34,0.0,0.36,4.0,1,0,0.0,0.0,336,9,51,5,2,2,0,0,11,0,train,0.5546585010547475,1
CUST00092,2025-09-30,Tier 3,25-34,Instagram,,Hair Care,No,21,1,430.85,0.0,0.26,4.0,1,0,0.0,0.0,68,1,5,0,0,0,0,0,3,0,test,0.2975844434335268,1
CUST00093,2025-09-30,Tier 1,18-24,Instagram,Gold,Baby Care,Yes,85,1,759.64,0.0,0.12,4.0,1,0,0.0,0.0,258,16,67,7,3,3,9,4,21,1,validation,0.24410396946219098,1
CUST00094,2025-09-30,Tier 1,25-34,Instagram,,Wellness,Yes,183,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,329,6,20,2,1,1,4,1,60,1,validation,0.9409175758622984,1
CUST00095,2025-09-30,Tier 2,25-34,Instagram,,Skin Care,Yes,65,1,372.65,0.0,0.41,4.0,1,1,1.0,5.3,85,10,57,1,2,1,2,1,7,1,train,0.5246539601361272,1
CUST00096,2025-09-30,Tier 3,25-34,Organic,,Makeup,No,61,2,1414.75,0.5,0.325,2.0,2,0,0.0,0.0,416,12,67,2,2,1,0,0,15,0,test,0.3750719328309871,1
CUST00097,2025-09-30,Tier 3,45+,Instagram,,Baby Care,Yes,1,3,2946.09,0.0,0.41,2.33,1,0,0.0,0.0,513,0,0,0,0,0,0,0,0,0,train,0.08582771901830949,0
CUST00098,2025-09-30,Tier 2,18-24,Instagram,,Fragrance,No,184,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,428,8,34,0,2,0,0,0,49,1,train,0.9086628228422924,1
CUST00099,2025-09-30,Tier 2,45+,Organic,,Fragrance,Yes,144,2,1471.51,0.0,0.105,5.0,1,0,0.0,0.0,490,4,17,2,1,0,5,2,27,0,train,0.43406533760862515,1
CUST00100,2025-09-30,Tier 1,25-34,Referral,,Skin Care,No,70,1,372.37,0.0,0.29,5.0,1,0,0.0,0.0,460,1,3,0,0,0,0,0,29,0,validation,0.6707040826768054,1
CUST00101,2025-09-30,Tier 3,35-44,Marketplace,,Baby Care,Yes,108,2,1240.21,0.0,0.255,4.5,2,0,0.0,0.0,594,2,6,1,0,1,0,0,27,1,train,0.6974319998472541,1
CUST00102,2025-09-30,Tier 2,35-44,Organic,,Skin Care,Yes,83,1,732.65,0.0,0.16,5.0,1,0,0.0,0.0,136,2,11,1,0,0,1,0,7,0,train,0.4654778560223617,1
CUST00103,2025-09-30,Tier 2,25-34,Marketplace,,Makeup,Yes,21,1,1469.96,0.0,0.08,5.0,1,0,0.0,0.0,27,6,18,2,1,1,4,1,0,0,train,0.09488512652188452,0
CUST00104,2025-09-30,Tier 1,35-44,Organic,,Makeup,Yes,93,1,955.63,0.0,0.31,5.0,1,0,0.0,0.0,176,3,9,1,0,0,3,0,27,1,validation,0.5924361046275183,1
CUST00105,2025-09-30,Tier 3,18-24,Instagram,,Makeup,Yes,46,1,2052.43,0.0,0.18,5.0,1,0,0.0,0.0,153,1,6,0,0,0,3,0,3,0,train,0.20433931231270913,0
CUST00106,2025-09-30,Tier 3,25-34,Influencer,,Wellness,No,61,1,436.15,0.0,0.24,3.0,1,0,0.0,0.0,513,5,19,1,1,0,0,0,21,1,train,0.504770884222066,1
CUST00107,2025-09-30,Tier 2,18-24,Organic,,Baby Care,No,12,2,1658.13,0.0,0.125,5.0,2,0,0.0,0.0,421,2,8,1,0,1,0,0,10,0,validation,0.09953699076488214,0
CUST00108,2025-09-30,Tier 3,18-24,Organic,,Skin Care,No,44,1,1074.5,1.0,0.22,1.0,1,1,1.0,18.1,68,5,24,0,0,0,0,0,11,1,train,0.8031421699213079,1
CUST00109,2025-09-30,Tier 1,25-34,Instagram,Silver,Skin Care,Yes,92,2,1622.28,0.0,0.255,4.5,2,0,0.0,0.0,492,1,4,0,0,0,3,1,16,0,test,0.5233813905979448,1
CUST00110,2025-09-30,Tier 2,35-44,Referral,,Skin Care,No,35,3,2424.8,0.0,0.233,5.0,2,2,0.5,34.9,319,4,15,1,1,0,0,0,8,1,train,0.11616824593381328,0
CUST00111,2025-09-30,Tier 2,25-34,Google Search,Silver,Skin Care,Yes,178,1,1135.09,0.0,0.23,5.0,1,0,0.0,0.0,204,3,14,0,0,0,1,0,33,1,test,0.9360253703853139,1
CUST00112,2025-09-30,Tier 1,18-24,Marketplace,,Hair Care,No,0,4,2225.98,0.0,0.3,3.75,3,0,0.0,0.0,323,4,15,1,1,0,0,0,0,0,train,0.0829685417393995,0
CUST00113,2025-09-30,Tier 1,35-44,Google Search,Silver,Hair Care,No,28,2,1601.31,0.0,0.385,4.0,2,0,0.0,0.0,129,17,65,2,5,0,0,0,2,0,train,0.17231192393615358,0
CUST00114,2025-09-30,Tier 1,25-34,Google Search,,Hair Care,Yes,239,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,619,3,14,1,0,0,4,1,41,1,test,0.9712188500644092,1
CUST00115,2025-09-30,Tier 3,35-44,Instagram,Gold,Skin Care,Yes,159,1,596.54,0.0,0.14,3.0,1,0,0.0,0.0,167,12,51,1,2,0,10,2,23,1,train,0.8255826748947913,1
CUST00116,2025-09-30,Tier 1,25-34,Referral,,Hair Care,Yes,143,1,452.08,0.0,0.27,5.0,1,0,0.0,0.0,412,10,45,1,1,0,4,2,26,1,validation,0.7022311457893787,1
CUST00117,2025-09-30,Tier 1,18-24,Marketplace,Silver,Baby Care,No,123,2,1268.88,0.0,0.28,3.5,2,0,0.0,0.0,533,2,7,1,0,0,0,0,27,1,train,0.8365412586546875,1
CUST00118,2025-09-30,Tier 3,25-34,Referral,Silver,Baby Care,Yes,27,1,689.56,0.0,0.18,5.0,1,0,0.0,0.0,45,2,9,1,0,0,0,0,1,0,train,0.27137963557196493,1
CUST00119,2025-09-30,Tier 1,25-34,Instagram,,Skin Care,No,69,1,2019.98,0.0,0.25,4.0,1,1,0.0,6.0,357,12,63,2,2,1,0,0,1,0,train,0.13959539873209334,0
CUST00120,2025-09-30,Tier 2,25-34,Referral,Silver,Fragrance,No,26,1,261.95,0.0,0.27,5.0,1,0,0.0,0.0,30,6,21,3,0,1,0,0,5,0,train,0.22035288095185138,0
CUST00121,2025-09-30,Tier 1,18-24,Instagram,Gold,Hair Care,Yes,27,2,2496.03,0.0,0.19,2.5,1,0,0.0,0.0,125,5,29,2,1,1,3,1,2,0,validation,0.06930020323281232,0
CUST00122,2025-09-30,Tier 2,25-34,Google Search,Gold,Hair Care,Yes,106,2,2048.93,0.0,0.36,4.0,2,0,0.0,0.0,189,10,39,1,2,1,10,4,30,1,train,0.41705916515895036,1
CUST00123,2025-09-30,Tier 2,18-24,Google Search,Silver,Baby Care,No,102,4,2117.52,0.0,0.335,4.0,3,0,0.0,0.0,301,2,6,1,0,1,0,0,23,0,train,0.691845854432262,1
CUST00124,2025-09-30,Tier 2,25-34,Marketplace,,Makeup,Yes,194,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,280,5,18,2,1,1,0,0,43,1,train,0.9380445647560982,1
CUST00125,2025-09-30,Tier 2,18-24,Referral,,Hair Care,Yes,8,2,1698.4,0.0,0.395,3.5,2,0,0.0,0.0,99,0,0,0,0,0,5,1,0,0,train,0.16747132971472659,0
CUST00126,2025-09-30,Tier 3,18-24,Instagram,Silver,Fragrance,Yes,57,1,919.95,0.0,0.6,3.0,1,0,0.0,0.0,480,5,30,1,1,1,3,0,3,1,train,0.3681605495787907,1
CUST00127,2025-09-30,Tier 1,18-24,Marketplace,Silver,Wellness,Yes,24,2,729.55,0.0,0.295,3.0,1,0,0.0,0.0,253,3,13,1,0,0,0,0,15,0,test,0.29767039622458313,1
CUST00128,2025-09-30,Tier 2,25-34,Organic,,Skin Care,No,19,2,1716.68,0.0,0.42,3.5,1,0,0.0,0.0,184,15,88,6,2,4,0,0,0,0,test,0.058370643461580086,0
